team_id,team,team_abbrev,athlete_id,player,status,date,type,details,description
24,San Antonio Spurs,SA,4713010,David Jones Garcia,Out,2026-02-04T22:39Z,"{'id': '4', 'name': 'INJURY_STATUS_OUT', 'description': 'out', 'abbreviation': 'O'}","{'fantasyStatus': {'description': 'OFS', 'abbreviation': 'OFS', 'displayDescription': 'OFS'}, 'type': 'Ankle', 'location': 'Leg', 'detail': 'Surgery', 'side': 'Right', 'returnDate': '2026-07-02'}",
18,New York Knicks,NY,4351852,Mitchell Robinson,Day-To-Day,2026-06-04T22:08Z,"{'id': '6', 'name': 'INJURY_STATUS_DAYTODAY', 'description': 'day-to-day', 'abbreviation': 'DD'}","{'fantasyStatus': {'description': 'GTD', 'abbreviation': 'GTD', 'displayDescription': 'GTD'}, 'type': 'Finger', 'location': 'Arm', 'returnDate': '2026-06-05'}",
